d2.5_l10,,d3_l10,,d3.5_l10,,d4_l10,
Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),Freq(Hz),SPL(dB)
89.355469,78.389,89.355469,78.298,89.355469,77.656,89.355469,77.553
89.72168,78.447,89.72168,78.354,89.72168,77.712,89.72168,77.61
90.087891,78.503,90.087891,78.409,90.087891,77.767,90.087891,77.667
90.454102,78.557,90.454102,78.463,90.454102,77.822,90.454102,77.723
90.820312,78.609,90.820312,78.516,90.820312,77.876,90.820312,77.778
91.186523,78.66,91.186523,78.567,91.186523,77.93,91.186523,77.831
91.552734,78.711,91.552734,78.618,91.552734,77.985,91.552734,77.884
91.918945,78.763,91.918945,78.669,91.918945,78.041,91.918945,77.936
92.285156,78.815,92.285156,78.72,92.285156,78.098,92.285156,77.989
92.651367,78.867,92.651367,78.772,92.651367,78.154,92.651367,78.043
93.017578,78.919,93.017578,78.824,93.017578,78.208,93.017578,78.097
93.383789,78.971,93.383789,78.875,93.383789,78.26,93.383789,78.151
93.75,79.021,93.75,78.926,93.75,78.309,93.75,78.204
94.116211,79.072,94.116211,78.978,94.116211,78.356,94.116211,78.254
94.482422,79.122,94.482422,79.029,94.482422,78.403,94.482422,78.303
94.848633,79.171,94.848633,79.081,94.848633,78.45,94.848633,78.352
95.214844,79.22,95.214844,79.133,95.214844,78.498,95.214844,78.403
95.581055,79.269,95.581055,79.184,95.581055,78.547,95.581055,78.454
95.947266,79.317,95.947266,79.235,95.947266,78.596,95.947266,78.505
96.313477,79.366,96.313477,79.284,96.313477,78.645,96.313477,78.556
96.679688,79.415,96.679688,79.333,96.679688,78.692,96.679688,78.605
97.045898,79.464,97.045898,79.381,97.045898,78.74,97.045898,78.653
97.412109,79.513,97.412109,79.428,97.412109,78.787,97.412109,78.701
97.77832,79.561,97.77832,79.475,97.77832,78.835,97.77832,78.748
98.144531,79.608,98.144531,79.522,98.144531,78.883,98.144531,78.795
98.510742,79.656,98.510742,79.568,98.510742,78.93,98.510742,78.841
98.876953,79.702,98.876953,79.614,98.876953,78.976,98.876953,78.887
99.243164,79.748,99.243164,79.66,99.243164,79.022,99.243164,78.932
99.609375,79.794,99.609375,79.707,99.609375,79.069,99.609375,78.977
99.975586,79.84,99.975586,79.754,99.975586,79.117,99.975586,79.024
100.341797,79.886,100.341797,79.8,100.341797,79.167,100.341797,79.072
100.708008,79.933,100.708008,79.847,100.708008,79.218,100.708008,79.12
101.074219,79.979,101.074219,79.892,101.074219,79.269,101.074219,79.169
101.44043,80.026,101.44043,79.937,101.44043,79.319,101.44043,79.216
101.806641,80.071,101.806641,79.981,101.806641,79.367,101.806641,79.263
102.172852,80.116,102.172852,80.025,102.172852,79.413,102.172852,79.309
102.539062,80.16,102.539062,80.069,102.539062,79.458,102.539062,79.356
102.905273,80.204,102.905273,80.113,102.905273,79.501,102.905273,79.402
103.271484,80.249,103.271484,80.158,103.271484,79.545,103.271484,79.448
103.637695,80.294,103.637695,80.202,103.637695,79.588,103.637695,79.492
104.003906,80.339,104.003906,80.247,104.003906,79.631,104.003906,79.536
104.370117,80.383,104.370117,80.291,104.370117,79.675,104.370117,79.579
104.736328,80.427,104.736328,80.335,104.736328,79.719,104.736328,79.622
105.102539,80.469,105.102539,80.378,105.102539,79.762,105.102539,79.666
105.46875,80.51,105.46875,80.42,105.46875,79.806,105.46875,79.71
105.834961,80.55,105.834961,80.462,105.834961,79.849,105.834961,79.754
