d3_l10,,d3_l15,,d3_l20,,,,,
Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),,,,
94.116211,78.978,94.116211,78.794,94.116211,79.056,,,,
94.482422,79.029,94.482422,78.842,94.482422,79.111,,,,
94.848633,79.081,94.848633,78.89,94.848633,79.165,,,,
95.214844,79.133,95.214844,78.939,95.214844,79.218,,,,
95.581055,79.184,95.581055,78.988,95.581055,79.269,,,,
95.947266,79.235,95.947266,79.039,95.947266,79.32,,,,
96.313477,79.284,96.313477,79.091,96.313477,79.37,,,,
96.679688,79.333,96.679688,79.142,96.679688,79.42,,,,
97.045898,79.381,97.045898,79.192,97.045898,79.469,,,,
97.412109,79.428,97.412109,79.241,97.412109,79.518,,,,
97.77832,79.475,97.77832,79.29,97.77832,79.566,,,,
98.144531,79.522,98.144531,79.339,98.144531,79.614,,,,
98.510742,79.568,98.510742,79.388,98.510742,79.662,,,,
98.876953,79.614,98.876953,79.437,98.876953,79.71,,,,
99.243164,79.66,99.243164,79.486,99.243164,79.757,,,,
99.609375,79.707,99.609375,79.533,99.609375,79.805,,,,
99.975586,79.754,99.975586,79.58,99.975586,79.852,,,,
100.341797,79.8,100.341797,79.626,100.341797,79.898,,,,
100.708008,79.847,100.708008,79.672,100.708008,79.943,,,,
101.074219,79.892,101.074219,79.718,101.074219,79.989,,,,
101.44043,79.937,101.44043,79.765,101.44043,80.034,,,,
101.806641,79.981,101.806641,79.811,101.806641,80.079,,,,
102.172852,80.025,102.172852,79.857,102.172852,80.124,,,,
102.539062,80.069,102.539062,79.902,102.539062,80.168,,,,
102.905273,80.113,102.905273,79.946,102.905273,80.212,,,,
103.271484,80.158,103.271484,79.99,103.271484,80.257,,,,
103.637695,80.202,103.637695,80.034,103.637695,80.301,,,,
104.003906,80.247,104.003906,80.078,104.003906,80.346,,,,
104.370117,80.291,104.370117,80.121,104.370117,80.39,,,,
104.736328,80.335,104.736328,80.164,104.736328,80.434,,,,
105.102539,80.378,105.102539,80.207,105.102539,80.478,,,,
105.46875,80.42,105.46875,80.25,105.46875,80.521,,,,
105.834961,80.462,105.834961,80.294,105.834961,80.564,,,,
106.201172,80.504,106.201172,80.337,106.201172,80.607,,,,
106.567383,80.546,106.567383,80.381,106.567383,80.649,,,,
106.933594,80.587,106.933594,80.424,106.933594,80.692,,,,
107.299805,80.628,107.299805,80.467,107.299805,80.735,,,,
107.666016,80.67,107.666016,80.51,107.666016,80.777,,,,
